"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 11:50:15 EST 2019","Wed Mar 06 11:51:21 EST 2019","65709"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_TC_C116915","Welcome screen","Welcome Screen"
"broken","Sat Feb 23 20:00:30 EST 2019","Sat Feb 23 20:00:33 EST 2019","3270","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","getRunIDs","getRunIDs",""
"passed","Wed Mar 06 12:01:16 EST 2019","Wed Mar 06 12:02:33 EST 2019","76500"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116927","Power and charging screen","Power and charging screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116912","let's check a few things screen","let's check a few things screen"
"passed","Tue Mar 05 14:37:00 EST 2019","Tue Mar 05 14:39:52 EST 2019","172405","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Home.HomePageTest","Com.Bose.Corporation.TestSuite.Home.HomePageTest","TC_HP_C116935","user onboarding and connecting buds.","user onboarding and connecting buds."
"broken","Wed Feb 27 11:06:51 EST 2019","Wed Feb 27 11:06:51 EST 2019","1","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","setup","setup",""
"passed","Mon Mar 04 14:50:23 EST 2019","Mon Mar 04 14:53:06 EST 2019","162894","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB002_C117941","AB002_C117941","Tap on the 'x' button on the top right corner of the About page"
"passed","Fri Mar 01 18:18:16 EST 2019","Fri Mar 01 18:21:06 EST 2019","170010","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","TC_Settings_C116985","Navigating to settings page and validation",""
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_TC_C116915","Welcome screen","Welcome Screen"
"unknown","Fri Mar 01 17:58:57 EST 2019","Fri Mar 01 17:58:57 EST 2019","0","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB011_C117964","AB011_C117964",""
"passed","Mon Mar 04 14:46:45 EST 2019","Mon Mar 04 14:49:56 EST 2019","191110","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB001_C117939","AB001_C117939","Tap on the About button from the scanning screen"
"passed","Wed Mar 06 12:02:38 EST 2019","Wed Mar 06 12:04:00 EST 2019","81455"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116928","charging your case screen","charging your case screen"
"passed","Wed Mar 06 11:49:31 EST 2019","Wed Mar 06 11:49:47 EST 2019","15207"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_TC_C116884","We Need Some Access Screen","We Need Some Access Screen"
"passed","Mon Mar 04 14:56:40 EST 2019","Mon Mar 04 14:59:34 EST 2019","174134","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB004_C117943","AB004_C117943","Bringing the App from background to foreground when app is on the About screen"
"passed","Mon Mar 04 14:53:32 EST 2019","Mon Mar 04 14:56:12 EST 2019","160253","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB003_C117942","AB003_C117942","Android]Select the Back button on the Android Phone, when user is on About page"
"passed","Wed Mar 06 11:55:23 EST 2019","Wed Mar 06 11:56:27 EST 2019","64454"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116920","Perfect fit screen","Perfect fit screen"
"broken","Mon Mar 04 15:03:23 EST 2019","Mon Mar 04 15:04:12 EST 2019","48211","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB006_C117953","AB006_C117953","Tap on the Bose.com from the About list page"
"broken","Wed Feb 27 07:38:21 EST 2019","Wed Feb 27 07:38:21 EST 2019","0","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","tearDown","tearDown",""
"passed","Fri Mar 01 18:25:07 EST 2019","Fri Mar 01 18:27:39 EST 2019","152368","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","TC_Settings_C","Battery Page",""
"broken","Wed Feb 27 14:22:27 EST 2019","Wed Feb 27 14:22:27 EST 2019","0"," Drowsy Test Suite","Settings Test","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","setUp","setUp",""
"passed","Fri Mar 01 18:21:33 EST 2019","Fri Mar 01 18:24:20 EST 2019","166911","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","TC_Settings_C116986","Nickname it page",""
"passed","Wed Mar 06 11:54:19 EST 2019","Wed Mar 06 11:55:18 EST 2019","58162"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116919","Too Large screen","Too Large screen"
"broken","Tue Feb 05 15:36:50 EST 2019","Tue Feb 05 15:36:59 EST 2019","9209"," Drowsy Test Suite","Drowsy OnBaarding","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_C116884","We Need Some Access Screen","We Need Some Access Screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116919","Too Large screen","Too Large screen"
"passed","Wed Mar 06 11:51:26 EST 2019","Wed Mar 06 11:52:18 EST 2019","51698"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_TC_C116916","Find your size screen","Find your Size screen"
"unknown","Fri Mar 01 17:58:57 EST 2019","Fri Mar 01 17:58:57 EST 2019","0","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB009_C117958","AB009_C117958",""
"passed","Fri Mar 01 18:28:05 EST 2019","Fri Mar 01 18:30:37 EST 2019","152155","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","TC_Settings_C1","Product Info",""
"broken","Tue Feb 05 12:25:29 EST 2019","Tue Feb 05 12:25:29 EST 2019","2"," Drowsy Test Suite","Drowsy OnBaarding","Com.Bose.Corporation.TestSuite.HomePageTest","Com.Bose.Corporation.TestSuite.HomePageTest","listen","listen",""
"passed","Wed Mar 06 11:49:52 EST 2019","Wed Mar 06 11:50:10 EST 2019","18364"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_TC_C116906","Disable Doze screen","Disable Doze screen"
"passed","Mon Mar 04 18:08:06 EST 2019","Mon Mar 04 18:10:52 EST 2019","165432","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB008_C117957","AB008_C117957","Tap on the Privacy Policy & Settings button on the About list page"
"failed","Mon Mar 04 10:59:54 EST 2019","Mon Mar 04 11:01:30 EST 2019","96628","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116912","let's check a few things screen","let's check a few things screen"
"passed","Thu Feb 28 17:00:12 EST 2019","Thu Feb 28 17:02:42 EST 2019","150295"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Home.HomePageTest","Com.Bose.Corporation.TestSuite.Home.HomePageTest","TC_HP_C116935","user onboarding and connecting buds.","user onboarding and connecting buds."
"passed","Mon Mar 04 15:00:02 EST 2019","Mon Mar 04 15:02:58 EST 2019","176329","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB005_C117945","AB005_C117945","Tap on Feedback button from About list page"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_TC_C116917","Try on Sleepbud Screen","Try on Sleepbud Screen"
"broken","Wed Mar 06 12:08:41 EST 2019","Wed Mar 06 12:10:09 EST 2019","88450"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116934","All done Screen","All done Screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116930","charging your sleepbuds screen","charging your sleepbuds screen"
"passed","Wed Mar 06 12:04:05 EST 2019","Wed Mar 06 12:05:30 EST 2019","84697"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116930","charging your sleepbuds screen","charging your sleepbuds screen"
"unknown","Fri Mar 01 17:58:57 EST 2019","Fri Mar 01 17:58:57 EST 2019","0","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB010_C117959","AB010_C117959",""
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","2"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116928","charging your case screen","charging your case screen"
"broken","Wed Mar 06 13:24:54 EST 2019","Wed Mar 06 13:24:54 EST 2019","3","Android Regression Suite","OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","setUp","setUp",""
"failed","Tue Feb 05 16:43:32 EST 2019","Tue Feb 05 16:43:45 EST 2019","12985"," Drowsy Test Suite","Drowsy OnBaarding","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","OB_C116906","Disable Doze screen","Disable Doze screen"
"failed","Tue Feb 05 17:03:42 EST 2019","Tue Feb 05 17:03:52 EST 2019","9910"," Drowsy Test Suite","Drowsy OnBaarding","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","test_OB_C116906","Disable Doze screen","Disable Doze screen"
"passed","Fri Mar 01 18:31:03 EST 2019","Fri Mar 01 18:33:36 EST 2019","152234","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","Com.Bose.Corporation.TestSuite.Settings.SettingsPageTest","TC_Settings","Sleep Timer",""
"broken","Tue Feb 05 13:12:30 EST 2019","Tue Feb 05 13:13:08 EST 2019","38172"," Drowsy Test Suite","Drowsy OnBaarding","Com.Bose.Corporation.TestSuite.HomePageTest","Com.Bose.Corporation.TestSuite.HomePageTest","testSetUpBoseSleepBuds","user onboarding and connecting buds.","user onboarding and connecting buds."
"passed","Wed Mar 06 12:05:35 EST 2019","Wed Mar 06 12:07:01 EST 2019","86143"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116931","your safety screen","your safety screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116920","Perfect fit screen","Perfect fit screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116925","great job screen","great job screen"
"broken","Tue Mar 05 14:09:21 EST 2019","Tue Mar 05 14:09:21 EST 2019","5","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.Home.HomePageTest","Com.Bose.Corporation.TestSuite.Home.HomePageTest","tearDown","tearDown",""
"unknown","Fri Mar 01 17:58:57 EST 2019","Fri Mar 01 17:58:57 EST 2019","0","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB010_C117960","AB010_C117960",""
"failed","Tue Feb 05 17:03:07 EST 2019","Tue Feb 05 17:03:14 EST 2019","7645"," Drowsy Test Suite","Drowsy OnBaarding","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","test_OB_C116884","We Need Some Access Screen","We Need Some Access Screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116927","Power and charging screen","Power and charging screen"
"passed","Mon Mar 04 17:59:55 EST 2019","Mon Mar 04 18:01:45 EST 2019","109672","Default Suite","DrowsyHypnoQA","Com.Bose.Corporation.TestSuite.About.AboutPageTest","Com.Bose.Corporation.TestSuite.About.AboutPageTest","AB007_C117954","AB007_C117954","Tap on the Back button to navigate to Hypno About list from Bose.com"
"passed","Wed Mar 06 11:53:18 EST 2019","Wed Mar 06 11:54:14 EST 2019","55974"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116918","Too small screen","Too small screen"
"unknown","Thu Feb 28 16:56:10 EST 2019","Thu Feb 28 16:56:10 EST 2019","0"," Ios Regression Suite","Ios System Execution","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116931","your safety screen","your safety screen"
"failed","Wed Mar 06 11:57:49 EST 2019","Wed Mar 06 11:58:58 EST 2019","69105"," Ios Regression Suite","OnBoardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","Com.Bose.Corporation.TestSuite.Onboarding.OnboardingTest","TC_OB_C116921","let's check a few things screen","let's check a few things screen"
